id,Название идеи,Балл,Подробное описание,Краткое описание,Направление),Количество участников проекта,Сроки реализации,Язык программирования,Уровень подготовки,Предлагаемые технологии
1,Бот для алгоритмического трейдинга,65,"Вам нужно написать программу, которая получает две цены акций: нынешнюю и предыдущую. Следующий шаг — создание модели машинного обучения, способной предсказать будущую цену. После того, как ваш бот предскажет цену, сравните прогнозируемую стоимость акций с реальной.","Этот бот - больше, чем проект: он автоматически продает и покупает акции в зависимости от цен.",Front+Back,3-8 человек,от месяца до полугода,Python,продвинутый,"Библиотека telegram-bot API, streamlit, pytorch, numpy, matplotlib"
2,Поисковой бот,63,"Вы можете написать бота, который будет извлекать информацию из интернет-магазинов, сравнивать цену на два товара и возвращать ссылку на самый дешевый вариант. Также ваш бот может постоянно проверять цену на определенный товар и отправлять вам уведомление, когда, например, цена снижается или начинается распродажа.","Поисковый бот — это бот, который периодически просматривает сайты и извлекает нужную вам информацию.",Front+Back,2 человека,от недели до месяца,Python,средний,"Библиотеки telegram-bot API, Beautiful Soup и requests"
3,Онлайн музыкальный плеер,70,"Пользователь может добавлять музыку как для своего личного использования, используя в личных плейлистах, так и в глобальный поиск, после чего каждый пользователь сможет найти ее по названию и исполнителю. Также можно делиться своими плейлистами, но при этом вся музыка внутри них тоже добавляется в глобальный поиск.","Пользователь загружает свою музыку и может составлять из нее удобные плейлисты, а также может искать музыку в глобальном поиске среди произведений, добавленных другими пользователями.",Front+Back,3-8 человек,от недели до месяца,Python,средний,"Библиотеки playsound, pydub, pyaudio, PostgreSQL"
4,Телефонный справочник,61,"У пользователя есть возможность сохранять телефонные номера в удобной электронной книжке, сохраняя их по имени и фамилии. Можно найти номер любого знакомого по его имени и фамилии. Все номера и имена хранятся в базе данных.","Простой проект на популярном языке программирования - телефонный справочник: база данных, хранящая имена и номера телефонов абонентов.",Front+Back,2 человека,от недели до месяца,С#,начинающий,"Библиотека FAnsiSql, визуальный дизайн Winforms C#, PostgreSQL"
5,Чат-рулетка для музыкантов,55,"Музыкант перед стартом рулетки выбирает, на каком музыкальном инструменте он будет играть, и с какими инструментами в группе хочет играть (гибкие фильтры, можно выбрать, чтобы точно был вокал, а также один из предложенных им). Чат рулетка подберет группу по фильтрам их участников. Также можно добавить понравившихся людей в друзья, а потом начинать поиск новой группы с другом в одной “комнате”, и собрать себе группу.",Чат рулетка для музыкантов позволяет подбирать себе группу для музыкальных импровизаций с выбранными инструментами.,Front+Back,3-8 человек,от месяца до полугода,С++,средний,"Библиотеки Nginx и fastcgi, OpenCV, C, JavaScript, HTML, CSS"
6,Сайт для библиотеки,69,"Администраторы библиотеки могут зарегистрироваться на этом сайте, и указать, какие книги есть в принципе в библиотеке и какие книги сейчас в наличии (не на руках). Читатели могут найти желаемую книгу, и посмотреть, в какой библиотеке она есть, а в случае срочной необходимости, может посмотреть, в каких библиотеках она есть сейчас. Для хранения этой информации будет использоваться базы данных.",Сайт позволяет читателю быстро отыскать в какой библиотеке есть нужная ему книга.,Front+Back,3-8 человек,от недели до месяца,JavaScript,средний,"Библиотеки Node.js MySQL, Socket.io, JavaScript, HTML, CSS, PostgreSQL"
7,Приложение для погоды с известными личностями.,65,"Благодаря данному приложению вы можете следить за погодой в вашем регионе. Помимо этого вы можете следить за атмосферным давлением в воздухе, % влажности, направлением ветра и силой, с которой он дует. Для наглядности можете поместить в свое приложение известных людей, которые будут одеты в соответствии с погодными условиями.","Приложение, которое поможет выбрать правильную одежду, основываясь на прогнозе погоды.",Mobile,2 человека,от месяца до полугода,Kotlin,средний,"OpenWeatherMap API, Jetpack Compose"
8,Card Memory Game,68,"Card Memory Game – классическая игра на запоминание. Ваша цель – реализовать алгоритм, который при верном выборе карточек убирает их с поля, а при неверном – переворачивает карточки обратно. Можно добавить счетчик, который будет присваивать очки за верно угаданные карточки. Помимо этого разработчик может реализовать разные уровни сложности, что позволит добавить систему уровней и таймер, время, за которое игрок должен проходить уровни.","Разработка мобильной игры с использованием карточек, которые нужно открывать, запоминать их расположение и искать подходящие для совпадений.",Mobile,1 человек,от недели до месяца,Python,начинающий,"Jetpack Compose, SQLite"
9,Приложение с рецептами,72,"Приложение будет иметь следующий функционал: хранение, изменение, добавление и отображение необходимой информации о блюде. Разработчик может реализовать следующие функции: поиск блюд по ингредиентам, по предпочтениям в национальной кухне и т.д..",Персональный помощник в кулинарии. Поможет найти легкие и вкусные рецепты на каждый день.,Mobile,2 человека,от недели до месяца,Kotlin,средний,"Firebase, Jetpack Compose"
10,Приложение для изучения иностранного языка,74,При написании приложения вам придется столкнуться с использованием базы данных и различных API. Реализуйте разнообразные грамматические тесты и аудирования при поддержке видео с ютуба. Изучите новые слова и повысьте свой уровень владения языка при помощи новых слов,"Приложение, благодаря которому можно выучить иностранный язык.",Mobile,более 8,от месяца до полугода,Kotlin,средний,"WordNet database, YouTube API, Google Cloud Speech-to-Text API, MySQL, Jetpack Compose"
11,Разработка финансового приложения,64,"Приложение, которое поможет вам отслеживать все ваши ежедневные расходы и управлять бюджетом. Вносите информацию о своих тратах и устанавливайте ежемесячные лимиты, чтобы контролировать свои финансы. Вы также можете создать долгосрочные финансовые планы, установить цели и отслеживать свой прогресс. Вы сможете анализировать свои доходы и расходы, чтобы понять, как улучшить свои финансовые результаты.",Личный финансовый ассистент.,Mobile,3-8 человек,от месяца до полугода,Kotlin,средний,"MongoDB/ MySQL, Jetpack Compose"
12,Приложение для чтения книг,67,"Создайте коллекцию электронных книг. Добавьте возможность прослушивания аудиокниг. Персонализируйте приложение: добавьте выбор шрифтов и цветовой гаммы. Также реализуйте систему закладок, чтобы пользователь мог без труда вернуться к чтению или прослушиванию книги.",Персональная библиотека.,Mobile,3-8 человек,от месяца до полугода,Kotlin,средний,"Firebase, MySQL, Jetpack Compose"
13,Приложение для создания и редактирования фотографий,65,"Создайте такое приложение, которое будет вашим персональным помощником в обработке фотографий. Реализуйте удобный и многофункциональный инструмент для обработки изображений. Ваше приложение может содержать следующие функции: возможность для обрезки и изменения размера фотографий,  управление слоями, сохранение и экспорт фотографий, инструменты для ретуширования, изменение яркости, применение различных фильтров и эффектов, коррекция цветового баланса, изменение резкости.",Создавай и редактируй фотографии при помощи различных фильтров и эффектов.,Mobile,более 3-8,от месяца до полугода,Kotlin,средний,"Expo, Firebase, Jetpack Compose"
14,Игра “Шахматы”,69,"Программа реализует возможно регистрации аккаунтов и хранит их в базе с соответствующим рейтингом. Рейтинг выдается всем при регистрации в одинаковом количестве. Далее за поражение рейтинг снимается, а за победу начисляется. Каждый раз обновляются данные в базе данных. А также программа собственно реализует игровой процесс шахмат: проверяет корректность ходов, которые хочет совершить пользователь, и совершает только возможные по правилам игры ходы.",Этот сервис позволит пользователю играть в шахматы со специально обученной программой,Front+Back,3-8 человек,от недели до месяца,Python,начинающий,"Библиотека python-sql, JavaScript, HTML, CSS, PostgreSQL"
15,Веб-игра “Головоломка”,60,"Реализуйте уровни: игрок начинает с простых уровней, а заканчивает сложными. Создайте различные типы головоломок. Пускай у вашей игры будет шкала прогресса, пользователь должен видеть, сколько ему еще осталось пройти. Также реализуйте систему подсказок.","Создание онлайн-игры, в которой игроки будут решать различные головоломки и логические задачи",Front+Back,3-8 человек,от месяца до полугода,JavaScript,начинающий,"Phaser.js, БД для хранения результатов игроков, WebGL, HTML, CSS, Python"
16,Онлайн калькулятора,54,"Создайте онлайн калькулятор, который будет размещен на вашем веб-сайте. Реализуйте базовые математические операции: сложение, умножение, вычитание и деление.Дополните его тригонометрическими функциями, возможностью возведения в степень, извлечения корня. Добавьте в него свойства логарифмов. Сделайте историю расчетов и проверку на введенные данные. Добавьте настройки калькулятора, где пользователь сможет настроить калькулятор под себя (тема, шрифты).",Онлайн калькулятор для решения различных математических задач.,Frontend,2 человека,от недели до месяца,JavaScript,средний,"React.js, HTML, CSS"
17,Интерактивная карта.,65,"Сделайте так, чтобы карта показывала, где вы именно сейчас находитесь, настройте маршрутизацию, реализуйте взаимодействие с картой: пускай она рассказывает про разные достопримечательности, где можно отдохнуть и т.д.. Персонализируйте карту, пускай пользователь сможет выбрать удобную для него тему, масштаб карты, вид.",Интерактивная карта с возможностью взаимодействия с ней.,Front+Back,3-8 человек,от недели до месяца,JavaScript,средний,"Leaflet.js, Google Maps API, Google Cloud Speech-to-Text API, MongoDB/ MySQL, HTML, CSS, Python"
18,Генератор паролей,66,"Реализуйте алгоритм, который будет создавать пароли разной сложности на вашем сайте. Пользователь должен иметь возможность выбирать длину. Ваш алгоритм должен составлять пароли из букв не только нижнего, но и верхнего регистра, из цифр и специальных символов. Оптимизируйте свой алгоритм, чтобы генерация выполнялась мгновенно.",Не тратьте время на придумывание паролей - реализуй генератор паролей.,Frontend,2 человека,меньше недели,JavaScript,начинающий,"React.js, HTML, CSS"
19,Клавиатурный тренажер,67,"Реализуйте интерактивный инструмент на сайте, который направлен на приобретение навыка десятипальцевого набора и увеличения скорости печати на клавиатуре. Создайте разные уровни сложности. Реализуйте как англоязычную, так и русскоязычную клавиатуры.Оптимизируйте свою программу, чтобы при напечатывании слов не было никакой задержки или чтобы она была минимальной.","Программа, предназначенная для обучения слепой печати, приобретения навыка десятипальцевого набора и увеличения скорости печати на клавиатуре. компьютера.",Front+Back,1 человек,от недели до месяца,JavaScript,средний,"React.js, HTML, CSS, Python"
20,Онлайн календарь,76,"Данный календарь должен будет предоставлять пользователям возможность легко планировать свои ежедневные, недельные и месячные задачи, встречи и события, создавать напоминания и следить за расписанием. Персонализируйте календарь: добавьте возможность менять фон, выбирать темы, стили.",Разработка веб-приложения для создания и хранения персональных и общедоступных календарей с возможностью добавления событий и напоминаний.,Front+Back,2 человека,от месяца до полугода,JavaScript,средний,"React.js, PostgreSQL, Google Calendar, HTML, CSS, Python"
21,Разработка интерфейса для онлайн-магазина,77,"Разработка интерфейса для онлайн-магазина включает в себя создание удобного и привлекательного пользовательского интерфейса для поиска, просмотра и покупки товаров, а также обработки платежей и управления заказами.","Создайте удобный, привлекательный и интуитивно понятный для онлайн-магазина.",Frontend,2 человека,меньше недели,JavaScript,начинающий,"React, Angular или Vue.js, HTML, CSS"